Median_House_Value,Median_Income,Median_Age,Tot_Rooms,Tot_Bedrooms,Population,Households,Latitude,Longitude,Distance_to_coast,Distance_to_LA,Distance_to_SanDiego,Distance_to_SanJose,Distance_to_SanFrancisco,Tot_No_Bedrooms,Max_Age
452600.0,8.3252,41.0,880.0,129.0,322.0,126.0,37.88,-122.23,9263.04077285038,556529.1583418,735501.80698384,67432.5170008434,21250.2137667799,751.0,50.0
358500.0,8.3014,21.0,7099.0,1106.0,2401.0,1138.0,37.86,-122.22,10225.7330715424,554279.850068765,733236.884360166,65049.9085739663,20880.6003997074,5993.0,34.0
352100.0,7.2574,52.0,1467.0,190.0,496.0,177.0,37.85,-122.24,8259.08510932293,554610.717069378,733525.68293736,64867.2898334847,18811.4874496884,1277.0,66.0
341300.0,5.6431,52.0,1274.0,235.0,558.0,219.0,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266,1039.0,63.0
342200.0,3.8462,52.0,1627.0,280.0,565.0,259.0,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266,1347.0,68.0
269700.0,4.0368,52.0,919.0,213.0,413.0,193.0,37.85,-122.25,7768.0865708364,555194.266086292,734095.290744033,65287.1384120522,18031.0475677266,706.0,69.0
299200.0,3.6591,52.0,2535.0,489.0,1094.0,514.0,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981,2046.0,65.0
241400.0,3.12,52.0,3104.0,687.0,1157.0,647.0,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981,2417.0,67.0
226700.0,2.0804,42.0,2555.0,665.0,1206.0,595.0,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069,1890.0,56.0
261100.0,3.6912,52.0,3549.0,707.0,1551.0,714.0,37.84,-122.25,6843.02084737498,554364.406935648,733249.808577589,64315.9917419372,17538.2099724981,2842.0,69.0
281500.0,3.2031,52.0,2202.0,434.0,910.0,402.0,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199,1768.0,68.0
241800.0,3.2705,52.0,3503.0,752.0,1504.0,734.0,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199,2751.0,62.0
213500.0,3.075,52.0,2491.0,474.0,1098.0,468.0,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199,2017.0,67.0
191300.0,2.6736,52.0,696.0,191.0,345.0,174.0,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069,505.0,68.0
159200.0,1.9167,52.0,2643.0,626.0,1212.0,620.0,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199,2017.0,65.0
140000.0,2.125,50.0,1120.0,283.0,697.0,264.0,37.85,-122.26,7349.62084160981,555778.657669268,734665.575038723,65716.117724091,17260.0320736199,837.0,64.0
152500.0,2.775,52.0,1966.0,347.0,793.0,331.0,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235,1619.0,64.0
155500.0,2.1202,52.0,1228.0,293.0,648.0,303.0,37.85,-122.27,7016.67724394864,556363.889157129,735236.534241465,66154.0501389035,16499.7622031235,935.0,68.0
158700.0,1.9911,50.0,2239.0,455.0,990.0,419.0,37.84,-122.26,6363.94801261769,554949.749518572,733820.824419216,64751.4638629145,16744.4065835069,1784.0,64.0
